date,open,high,low,close,volume,bb_bbh,bb_bbl,bb_bbm,ATR,ROCI_10,ROCI_20,ROCI_40,ROCI_60,ROCI_120,close_change
2011-03-29,1.4086,1.4148,1.4047,1.4113,64044,1.4113,1.4113,1.4113,0.0,0.0,0.0,0.0,0.0,0.0,0
2011-03-30,1.4113,1.4146,1.4052,1.4126,70281,1.4132500000000001,1.41065,1.41195,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-03-31,1.4127,1.4232,1.4116,1.4174,73492,1.4190134646319867,1.4085198687013465,1.4137666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-04-01,1.4173,1.4245,1.4061,1.4234,70943,1.4256748684201415,1.4066751315798585,1.416175,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-04-04,1.4231,1.4268,1.4192,1.4218,61094,1.426914988299525,1.407685011700475,1.4173,0.0,0.0,0.0,0.0,0.0,0.0,0
2011-04-05,1.4218,1.4245,1.4151,1.4218,62421,1.4274462758580195,1.4086537241419805,1.41805,0.0,0.0,0.0,0.0,0.0,0.0,0
2011-04-06,1.4218,1.4348,1.4217,1.4331,67438,1.4338607885152044,1.4065392114847954,1.4202,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-04-07,1.433,1.4336,1.4243,1.4304,71548,1.435925173009345,1.4070248269906551,1.421475,0.0,0.0,0.0,0.0,0.0,0.0,0
2011-04-08,1.4303,1.4487,1.4291,1.4482,69625,1.4460724327129637,1.402816456175925,1.4244444444444444,0.0,0.0,0.0,0.0,0.0,0.0,1
2011-04-11,1.4452,1.4483,1.4421,1.4432,61152,1.449721504225156,1.402918495774844,1.42632,0.0,0.0,0.0,0.0,0.0,0.0,0
2011-04-12,1.4434,1.4518,1.4377,1.4478,78914,1.4537751108916743,1.4027703436537804,1.4282727272727274,0.0,2.5862679798767076,0.0,0.0,0.0,0.0,1
2011-04-13,1.4478,1.4519,1.4413,1.444,72407,1.4555015165687035,1.4036651500979633,1.4295833333333334,0.0,2.222851479541262,0.0,0.0,0.0,0.0,0
2011-04-14,1.444,1.4514,1.4365,1.4486,73809,1.4579309354017094,1.4041613722905983,1.4310461538461539,0.0,2.201213489487803,0.0,0.0,0.0,0.0,1
2011-04-15,1.4486,1.4503,1.439,1.4429,67446,1.458509443194814,1.4052762710909006,1.4318928571428573,0.0,1.3699592524940334,0.0,0.0,0.0,0.0,0
2011-04-18,1.4416,1.442,1.4157,1.4227,78429,1.4573998468601943,1.405160153139806,1.43128,0.0,0.06330004220003678,0.0,0.0,0.0,0.0,0
2011-04-19,1.4227,1.4352,1.4205,1.4331,73380,1.4566995268849328,1.4060879731150673,1.43139375,0.0,0.7947671965114705,0.0,0.0,0.0,0.0,1
2011-04-20,1.4331,1.4544,1.4328,1.4521,81284,1.4590250307447004,1.4061984986670646,1.4326117647058825,0.0,1.3257972228037056,0.0,0.0,0.0,0.0,1
2011-04-21,1.4521,1.4648,1.4505,1.455,73069,1.4614978920239532,1.4062132190871581,1.4338555555555557,0.0,1.7197986577181332,0.0,0.0,0.0,0.0,1
2011-04-22,1.455,1.4587,1.4534,1.456,34293,1.4636861297847885,1.4063559754783699,1.4350210526315792,0.0,0.5385996409335747,0.0,0.0,0.0,0.0,1
2011-04-25,1.456,1.4626,1.4525,1.4578,55776,1.4658111315129796,1.4065088684870206,1.43616,0.01294000000000003,1.0116407982261604,0.0,0.0,0.0,0.0,1
2011-04-26,1.4578,1.4656,1.4493,1.4647,65412,1.468662472240832,1.4089975277591682,1.43883,0.013108000000000026,1.1672882994888738,3.7837454828881096,0.0,0.0,0.0,1
2011-04-27,1.4647,1.4795,1.4632,1.4771,72419,1.4737360653229972,1.410373934677003,1.442055,0.013267600000000023,2.2922437673130283,4.5660484213507,0.0,0.0,0.0,1
2011-04-28,1.4772,1.4881,1.4771,1.4823,68646,1.4794163890234593,1.4111836109765408,1.4453,0.013154220000000017,2.3263840949882533,4.578806264992236,0.0,0.0,0.0,1
2011-04-29,1.4823,1.4877,1.4803,1.4806,50086,1.4840000000000002,1.4123199999999996,1.44816,0.01286650900000002,2.6127936793956508,4.018547140649144,0.0,0.0,0.0,0
2011-05-02,1.4808,1.4901,1.4763,1.4829,65625,1.4879515907509124,1.4144784092490874,1.451215,0.012913183550000021,4.231391017080202,4.297369531579698,0.0,0.0,0.0,1
